id,district,area,amount,ppm,date
9473541,المناخ,239,185000,773,2026-05-18
9473193,الزهراء,2500,9500000,3800,2026-05-18
9472251,المروة,286,369000,1290,2026-05-17
9471366,السويدي,312,750000,2400,2026-05-14
9471355,السويدي,312,750000,2400,2026-05-14
9470993,الدار البيضاء,500,20000,40,2026-05-14
9471327,الملك فيصل,750,2833328,3778,2026-05-14
9471315,الملك فيصل,750,2833328,3778,2026-05-14
9471365,قرطبة,348,2000000,5747,2026-05-14
9471248,قرطبة,2195,14829324,6757,2026-05-14
9471431,الملقا,1094,12575250,11500,2026-05-14
9470835,الياسمين,240,4120000,17167,2026-05-14
9471412,العمل,456,1853237,4064,2026-05-14
9471399,العمل,125,1853237,14826,2026-05-14
9470472,طويق,900,660000,733,2026-05-13
9469989,المهدية,742,225000,303,2026-05-13
9470079,ظهرة لبن,375,862500,2300,2026-05-13
9470366,الدار البيضاء,42,280000,6737,2026-05-13
9470057,اليرموك,275,2650000,9636,2026-05-13
9470538,العارض,300,2500000,8333,2026-05-13
9469093,القيروان,200,980470,4902,2026-05-12
9469713,العمل,636,3000000,4714,2026-05-12
9468135,العارض,308,2525000,8193,2026-05-11
9468466,الشرفية,120,900000,7500,2026-05-11
9468859,العمل,400,1500008,3750,2026-05-11
9467695,شبرا,396,1370000,3460,2026-05-10
9467688,ديراب,625,562500,900,2026-05-10
9466231,ديراب,600,822000,1370,2026-05-07
9466358,الخليج,346,850000,2457,2026-05-07
9466595,الزهراء,557,1650000,2964,2026-05-07
9465620,العارض,311,4330000,13943,2026-05-06
9466065,العمل,380,3460000,9094,2026-05-06
9465157,ظهرة لبن,900,2925000,3250,2026-05-05
9465298,الزهرة,460,1500000,3261,2026-05-05
9465351,المنار,500,3458167,6916,2026-05-05
9465029,الصحافة,338,2946792,8718,2026-05-05
9464921,الصحافة,364,2946792,8096,2026-05-05
9464069,نمار,250,864303,3457,2026-05-04
9463933,الملقا,200,2700000,13500,2026-05-04
9459298,نمار,250,1067142,4269,2026-04-28
9459285,شبرا,500,1150000,2300,2026-04-28
9459060,اليرموك,650,871000,1340,2026-04-28
9459044,الملقا,300,5200000,17333,2026-04-28
9458093,نمار,250,1078204,4313,2026-04-27
9458058,نمار,250,848253,3393,2026-04-27
9458640,عرقة,10000,30000000,12000,2026-04-27
9458881,السحاب,300,441000,1470,2026-04-27
9458726,السحاب,300,540000,1800,2026-04-27
9458470,اليرموك,625,1768795,2830,2026-04-27
9457111,لبن,450,800000,1778,2026-04-26
9457558,الملقا,500,10000000,19996,2026-04-26
9456493,الزهرة,400,900000,2250,2026-04-23
9455646,الملك فهد,750,4500000,6000,2026-04-22
9454075,الخليج,600,2500000,4167,2026-04-20
9452774,المشاعل,256875,128437500,500,2026-04-19
9452705,الناصرية,35,250000,7054,2026-04-19
9450675,نمار,250,1081829,4327,2026-04-15
9450582,لبن,450,1435000,3189,2026-04-15
9450985,الخليج,290,2290000,7907,2026-04-15
9451000,المدينة الصناعية الجديدة,4626,2313000,500,2026-04-15
9450981,المدينة الصناعية الجديدة,5025,2261250,450,2026-04-15
9450946,المدينة الصناعية الجديدة,5025,2261250,450,2026-04-15
9448925,عرقة,500,1400000,2800,2026-04-13
9448835,المشاعل,1497,8000000,21379,2026-04-13
9448773,الخليج,500,1900000,3800,2026-04-13
9446100,دعكنة,4000,6000000,1500,2026-04-07
9446094,دعكنة,4000,6000000,1500,2026-04-07
9446083,دعكنة,4000,6000000,1500,2026-04-07
9446048,دعكنة,4000,6000000,1500,2026-04-07
9445586,الشرفية,74,90000,1208,2026-04-06
9443521,النزهة,375,1600000,4267,2026-04-02
9443317,المناخ,1506,1506321,1000,2026-04-01
9441217,الناصرية,88,400000,4545,2026-03-30
9441734,الغروب,800,1920000,2400,2026-03-30
9438064,الناصرية,137,950000,6932,2026-03-17
9437942,الزهراء,375,2000000,5333,2026-03-17
9435023,النزهة,832,8500000,10210,2026-03-11
9434526,الشرفية,168,2650000,15796,2026-03-10
9434326,النزهة,375,1311483,3497,2026-03-09
9431822,المشاعل,7178,10081264,1404,2026-03-04
9431809,المشاعل,7178,10081264,1404,2026-03-04
9429913,الناصرية,111,1500000,13457,2026-03-01
9428647,بنبان,1000,1000000,1000,2026-02-27
9427313,المشاعل,800,1680000,2100,2026-02-26
9426075,عليشة,484,1590000,3287,2026-02-24
9425243,الشرفية,110,875000,7957,2026-02-23
9425215,الشرفية,117,850000,7265,2026-02-23
9425387,الناصرية,158,1050000,6662,2026-02-23
9422415,المدينة الصناعية الجديدة,16000,28279070,1767,2026-02-17
9420104,الملك فهد,660,1650000,2500,2026-02-15
9419489,الغروب,621,1366024,2200,2026-02-12
9418570,الملك فهد,550,3698750,6725,2026-02-11
9409507,المدينة الصناعية الجديدة,600,400000,667,2026-01-29
9406188,الملك فهد,188,390178,2081,2026-01-25
9389513,الزهراء,292,1350000,4615,2025-12-31
9389574,الغروب,639,1501840,2350,2025-12-31
9293075,السحاب,300,420000,1400,2025-09-03
9293058,السحاب,362,507178,1400,2025-09-03
9282141,بنبان,450,1500000,3333,2025-08-21
9267321,السحاب,195528,238263375,1219,2025-08-03
8918306,بنبان,2450,6000000,2449,2024-09-06
8883414,بنبان,411336,245000000,596,2024-08-06
8740302,بنبان,810,2300000,2840,2024-03-18
8619619,اشبيلية,450,628580,1397,2023-11-15
8619612,اشبيلية,459,1520000,3312,2023-11-15
8618625,اشبيلية,350,2300000,6571,2023-11-14
8618426,اشبيلية,510,1521170,2983,2023-11-14
5673483,سلطانة,500,50000,100,2019-11-21
6658263,سلطانة,550,90000,164,2019-04-24
6682173,سلطانة,525,773950,1474,2019-02-28
6982554,سلطانة,625,555000,888,2019-02-10
5510893,سلطانة,750,800000,1067,2018-08-02
